Bird,Learner,Left,Right,T2vsT1_sim,T2_song_90,T1_Song_90
G02,Bad,-2.041256447,-1.487675464,49.75,25,16.67
R143,Bad,0.169409055,0.163166548,39.05,25,0
S46,Bad,0.673599386,-0.881583606,54.65,0,14.29
S47,Bad,-1.319307853,0.1661255,47.5,30,0
S56,Bad,-0.961048262,-1.302693085,56.29,33.33,8.33
S79,Bad,-0.012861369,-3.013974362,33.29,33.33,62.5
S71,Bad,-0.749668103,0.257839349,51.35,40,8.3
g07,Good,0.779450544,1.398369573,44.4,64.29,0
R144,Good,1.029186392,1.154606944,49.45,66.67,35.71
R145,Good,1.108052462,0.670141604,39.65,87.5,14.29
S63,Good,0.141203037,-0.218543406,48.05,42.86,0
S64,Good,0.157323533,0.26087931,44.15,66.67,25
S75,Good,1.896223534,-0.278382121,43.85,87.5,14.29
Y98,Good,0.288217732,0.831945392,49.3,50,35.71
Y99,Good,2.565855788,1.127729186,46.125,75,14.29
